id,name,host_id,host_name,host_since,host_location,host_response_time,host_is_superhost,neighbourhood_cleansed,neighbourhood_group,latitude,longitude,room_type,accommodates,price,minimum_nights,number_of_reviews,first_review,last_review,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,license,reviews_per_month,host_location,availability_365
19720703,Pilsen Wonder,136277179,Jesus,6/21/2017,"Chicago, IL",N/A,f,Lower West Side,,41.85284,-87.66917,Entire home/apt,5,499,32,35,7/10/2017,9/15/2021,4.43,4.46,4.26,4.83,4.83,4.37,4.49,City registration pending,0.51,"Chicago, IL",0
19604017,Cozy Vintage 1bdrm-Pilsen,136277179,Jesus,6/21/2017,"Chicago, IL",N/A,f,Lower West Side,,41.85294,-87.66773,Entire home/apt,4,499,32,49,7/5/2017,6/26/2018,4.56,4.72,4.72,4.7,4.75,4.59,4.74,City registration pending,0.71,"Chicago, IL",0
21661817,3BD Duplex Loft in Lincoln Park-parking included,151599358,Jenna,9/21/2017,"Chicago, IL",N/A,f,Lincoln Park,,41.9172,-87.65497,Entire home/apt,7,499,2,1,7/8/2019,7/8/2019,0,,,,,,,City registration pending,0.02,"Chicago, IL",0
53895987,★Fulton Market | King Suite w/Jacuzzi | Fast WiFi★,436585929,Atithi Stays,12/19/2021,"Chicago, IL",within an hour,t,Near West Side,,41.88535,-87.64827,Entire home/apt,10,407,2,46,1/20/2022,12/18/2022,4.87,4.96,4.72,4.76,4.98,4.96,4.63,R21000074320,3.25,"Chicago, IL",0
37049582,Steps from DePaul! Delightful Lincoln Park 3 Bedrm,207669764,Dave,8/6/2018,"Chicago, IL",N/A,f,Lincoln Park,,41.9239,-87.65603,Entire home/apt,8,400,32,18,8/3/2019,11/16/2019,4.78,4.89,4.89,5,5,4.94,4.67,Pending,0.41,"Chicago, IL",0
7.11E+17,"Cozy 2-bedroom, 1.5 bath for 6, no cleaning fees.",43303710,Marco,9/3/2015,"Chicago, IL",within an hour,t,Lincoln Park,,41.92565,-87.65214,Entire home/apt,6,400,4,2,11/28/2022,12/26/2022,5,5,5,5,5,5,5,R22000076585,0.54,"Chicago, IL",0
47006485,Modern Industrial Music Lover's Paradise!,1416817,Scott,11/17/2011,"Chicago, IL",within a day,f,Near North Side,,41.90431,-87.64201,Entire home/apt,5,400,3,10,12/27/2020,9/3/2022,4.9,4.9,4.9,4.9,5,4.9,4.9,R20000060224,0.37,"Chicago, IL",0
29303361,Gorgeous home near Wrigley/train to downtown,6780106,Chris And Keri,6/6/2013,"Chicago, IL",N/A,f,North Center,,41.95241,-87.67599,Entire home/apt,8,399,2,42,10/20/2018,9/27/2020,4.76,4.81,4.79,4.98,5,4.76,4.79,R18000034986,0.78,"Chicago, IL",0
33090907,Spinnaker - 4 Bedroom Italianate Penthouse OldTown,9165588,Edward,10/1/2013,"Chicago, IL",N/A,f,Near North Side,,41.90967,-87.64036,Entire home/apt,10,386,32,18,3/18/2019,12/31/2019,4.89,5,5,4.89,5,4.83,4.72,R19000039940,0.37,"Chicago, IL",0
42536970,Stunning views & Location in the heart of downtown,218800805,Chicago Condo,10/4/2018,"Chicago, IL",N/A,f,Near North Side,,41.89361,-87.61853,Entire home/apt,6,375,32,2,7/20/2020,11/29/2020,4.5,4.5,4.5,5,5,5,5,3425799,0.06,"Chicago, IL",0
3488317,Brewers & Reds  vs Cubs Wrigleyville - 3 bdrms,3621097,Marcus,9/19/2012,"Chicago, IL",N/A,f,Lake View,,41.94421,-87.64861,Entire home/apt,7,375,1,6,7/3/2017,9/16/2018,5,5,5,5,5,5,5,R17000017566,0.09,"Chicago, IL",0
22559829,New construction luxury condo mins away from dwntn,164659904,Tova,12/28/2017,"Chicago, IL",N/A,f,West Town,,41.90018,-87.66736,Entire home/apt,8,363,32,34,4/1/2018,9/26/2018,4.62,4.79,4.79,4.79,4.76,4.74,4.71,City registration pending,0.56,"Chicago, IL",0
7729906,3BD/2BA Extended Stay Apt. @ The Guesthouse Hotel,24705990,Rick,12/10/2014,"Chicago, IL",within an hour,t,Uptown,,41.97183,-87.66786,Entire home/apt,6,359,32,6,6/13/2016,4/29/2018,5,5,5,5,5,5,5,City registration pending,0.07,"Chicago, IL",0
12869290,Bright and Spacious Condo in Chicago,4769189,Delphine,1/19/2013,"Chicago, IL",N/A,f,Uptown,,41.97404,-87.65962,Entire home/apt,5,353,3,9,8/5/2016,8/5/2022,4.89,5,4.78,5,5,4.88,4.63,R22000077720,0.11,"Chicago, IL",0
47734739,Immaculate Loft ⧫ Avondale ⧫ Designer Touches,195799805,Julie Ann,6/15/2018,"Chicago, IL",within an hour,t,Avondale,,41.934971,-87.716469,Entire home/apt,7,353,2,46,2/5/2021,1/31/2022,5,4.96,4.96,5,4.96,4.96,4.93,City registration pending,1.79,"Chicago, IL",0
30159168,"Luxury 3 level private home in Bucktown, Chicago",39047799,"Shariq, Ayesha, Zizou",7/20/2015,"Chicago, IL",N/A,f,Logan Square,,41.92063,-87.6823,Entire home/apt,8,350,3,1,12/31/2021,12/31/2021,3,1,2,5,3,5,2,R18000036304,0.07,"Chicago, IL",0
17071648,Whit's Place in Old Town,14205967,Whit,4/12/2014,"Chicago, IL",within an hour,f,Near North Side,,41.90707,-87.63849,Entire home/apt,9,337,3,179,3/12/2017,2/20/2023,4.73,4.74,4.73,4.83,4.77,4.75,4.61,R21000070623,2.44,"Chicago, IL",0
36424625,"Spacious house 4BR/2.5BH, 10 min DTWN *W/Garage",2407409,Erikka,5/18/2012,"Chicago, IL",N/A,f,West Town,,41.9034,-87.69281,Private room,10,321,32,27,8/4/2019,4/23/2020,4.85,4.96,4.63,4.93,4.96,4.85,4.85,City registration pending,0.61,"Chicago, IL",0
42426790,"Loop 1BR w/ Pool, Gym, nr. the L & Millennium Park",107434423,Blueground,12/16/2016,"New York, NY",within an hour,f,Loop,,41.886064,-87.624718,Entire home/apt,2,314,32,1,1/14/2022,1/14/2022,5,5,5,5,5,5,5,32+ Days Listing,0.07,"New York, NY",0
18582417,Luxury High-Rise Condo,47523544,Omar,10/27/2015,"Whitewater, WI",N/A,f,Near North Side,,41.8876,-87.62885,Entire home/apt,4,300,32,2,8/9/2017,9/10/2017,4,4,3.5,4,4,5,4.5,City registration pending,0.03,"Whitewater, WI",0
49920140,Penthouse Lincoln Park Condo with Rooftop Patio,5760690,Lindsay,4/3/2013,"Chicago, IL",N/A,f,Lincoln Park,,41.9126,-87.64994,Entire home/apt,4,300,32,6,7/27/2021,10/18/2021,5,5,5,5,5,5,5,R21000071064,0.3,"Chicago, IL",0
49655511,Stylish and Cozy newly renovated Bridgeport Apt,24666478,Benjamin,12/9/2014,"Chicago, IL",within an hour,t,Bridgeport,,41.83326,-87.65358,Entire home/apt,2,300,2,16,8/1/2021,12/31/2022,4.94,4.88,4.81,4.94,4.88,4.81,4.69,R21000063304,0.81,"Chicago, IL",0
35605764,Charming Logan Square Home w/ Private Backyard,486514,Gemma,4/5/2011,"Chicago, IL",N/A,f,Logan Square,,41.92017,-87.69941,Entire home/apt,5,300,1,18,7/12/2019,2/16/2020,5,5,4.94,5,4.89,5,4.78,R21000075047,0.4,"Chicago, IL",0
7613172,2BD/2BA Extended Stay @ The Guesthouse Hotel,24705990,Rick,12/10/2014,"Chicago, IL",within an hour,t,Uptown,,41.97075,-87.66812,Private room,4,299,32,3,9/6/2015,11/23/2017,5,5,5,5,5,5,5,2328618,0.03,"Chicago, IL",0
13348367,"Spacious home 5BR/2BH, 10 min downtown w/parking",2407409,Erikka,5/18/2012,"Chicago, IL",N/A,f,West Town,,41.89371,-87.66773,Entire home/apt,10,289,32,177,7/10/2016,3/31/2021,4.86,4.94,4.9,4.98,4.99,4.84,4.86,R17000017873,2.17,"Chicago, IL",0
50266751,"Great Views, Balcony & High Ceilings",92316600,Jas,8/28/2016,"Oak Lawn, IL",N/A,f,South Shore,,41.76306,-87.58181,Entire home/apt,4,282,32,2,8/1/2021,8/16/2021,3,3,3,3,3,3,3,City registration pending,0.1,"Oak Lawn, IL",0
42936720,"Loop 2BR w/ Pool, Gym, nr. Financial District",107434423,Blueground,12/16/2016,"New York, NY",within an hour,f,Loop,,41.8860812,-87.6342223,Entire home/apt,4,274,32,1,10/31/2022,10/31/2022,5,5,5,5,5,5,5,32+ Days Listing,0.21,"New York, NY",0
6.95E+17,"Lakeview 2BR w/ W/D & BBQ, nr Belmont L",107434423,Blueground,12/16/2016,"New York, NY",within an hour,f,Lake View,,41.937821,-87.6508314,Entire home/apt,4,272,32,1,12/11/2022,12/11/2022,4,4,5,5,3,4,3,,0.3,"New York, NY",0
7.24E+17,"W. Loop 2BR w/ pool, gym & lounge, nr L",107434423,Blueground,12/16/2016,"New York, NY",within an hour,f,Near West Side,,41.8850096,-87.6440271,Entire home/apt,4,272,32,1,1/8/2023,1/8/2023,5,5,5,5,5,5,4,,0.42,"New York, NY",0
45638810,A private place to call home,353286647,Teresa,7/3/2020,Unknown,N/A,f,East Garfield Park,,41.87247,-87.71526,Entire home/apt,7,265,32,7,5/31/2021,10/24/2021,4.29,4.43,4.71,4.57,4.43,4.14,4.14,R20000058882,0.32,,0
35387909,Cozy Tri-Taylor Garden Flat/5 min to Medical Dist,2407409,Erikka,5/18/2012,"Chicago, IL",N/A,f,Near West Side,,41.87229,-87.68527,Entire home/apt,4,264,2,18,8/11/2019,4/17/2020,4.94,4.94,4.72,4.94,5,4.67,4.83,City registration pending,0.41,"Chicago, IL",0
40466627,"Gold Coast 2 BR nr. CTA, Oak St. Beach & Shopping",107434423,Blueground,12/16/2016,"New York, NY",within an hour,f,Near North Side,,41.899882,-87.6207482,Entire home/apt,4,260,32,2,11/11/2020,12/18/2020,5,5,4.5,5,4.5,5,5,32+ Days Listing,0.07,"New York, NY",0
35926813,"River N. Studio w/ Gym, W/D, nr. Magnificent Mile",107434423,Blueground,12/16/2016,"New York, NY",within an hour,f,Near North Side,,41.8950138,-87.6279149,Entire home/apt,2,257,32,1,4/6/2021,4/6/2021,5,5,5,5,5,5,5,32+ Days Listing,0.04,"New York, NY",0
20134949,Upscale Lakeview Apt. in the Southport Corridor,85364675,Steve,7/22/2016,"Glenview, IL",N/A,f,Lake View,,41.94509,-87.66596,Entire home/apt,6,257,2,44,8/13/2017,10/16/2022,4.8,4.95,4.55,4.95,4.93,4.91,4.77,R20000058336,0.65,"Glenview, IL",0
15500209,Top Floor Historic District Home (1916) Awaits You,68756440,Milly And Will,4/24/2016,"Saint Ignatius, MT",N/A,f,Irving Park,,41.95903,-87.7099,Entire home/apt,4,257,1,79,10/30/2016,3/15/2020,4.84,4.9,4.83,4.92,4.96,4.7,4.84,R17000015297,1.02,"Saint Ignatius, MT",0
43601672,2 Bedrooms for 4: King & Queen Beds Long Term Stay,277460072,Arsène,7/19/2019,"Chicago, IL",within an hour,f,Washington Park,,41.78718,-87.6158,Private room,4,254,32,2,11/20/2020,6/5/2021,5,5,5,5,5,5,4,R22000086176,0.07,"Chicago, IL",0
20885281,South Loop Condo,149962790,Alexander,9/10/2017,"Chicago, IL",N/A,f,Near South Side,,41.86272,-87.62512,Entire home/apt,5,250,32,1,10/9/2017,10/9/2017,0,,,,,,,City registration pending,0.02,"Chicago, IL",0
26892171,Chicago Single family home located in Edison Park,1385047,Annmarie,11/8/2011,"Chicago, IL",N/A,f,Norwood Park,,41.97246,-87.81786,Entire home/apt,8,250,32,2,7/16/2018,9/16/2018,5,5,5,5,5,4,5,City registration pending,0.04,"Chicago, IL",0
13431644,Wicker Park Landmark Church,588905,Scott,5/14/2011,"Chicago, IL",N/A,f,West Town,,41.90908,-87.68241,Entire home/apt,4,250,32,11,9/16/2016,11/18/2016,4.88,5,5,5,4.88,4.88,4.75,R19000042660,0.14,"Chicago, IL",0
34931784,Quintessential Ukrainian Village Vintage Apartment,56538332,Kari,1/28/2016,"Glen Ellyn, IL",N/A,f,West Town,,41.89763,-87.68022,Entire home/apt,4,250,32,11,6/5/2019,8/8/2019,4.82,4.82,4.82,5,5,4.91,4.73,R19000042678,0.24,"Glen Ellyn, IL",0
50046161,Entire Chicago Historical Row Home near Downtown,403658566,Lamar,5/26/2021,"Chicago, IL",N/A,t,Grand Boulevard,,41.82336,-87.61657,Entire home/apt,6,250,32,35,6/21/2021,1/1/2023,4.8,4.86,4.77,4.94,4.8,4.83,4.71,R21000073786,1.65,"Chicago, IL",0
44175548,Chicago uptown,344404176,Amyn,4/21/2020,"Glenview, IL",N/A,f,Edgewater,,41.97996,-87.66755,Shared room,2,250,30,1,7/17/2021,7/17/2021,1,1,1,1,1,1,1,R20000056743,0.05,"Glenview, IL",0
14490847,"Big house, sauna, pool table, two decks, sheep",5080189,Dylan,2/13/2013,"Chicago, IL",N/A,f,Portage Park,,41.9513,-87.75037,Entire home/apt,10,250,4,3,7/6/2022,7/24/2022,4.67,5,4.67,5,5,4.67,5,R23000098854,0.35,"Chicago, IL",0
21798344,Cozy & Spacious Edgewater Condo 3BR/1BR,12518382,Carmen,2/23/2014,"Chicago, IL",N/A,f,Edgewater,,41.99776,-87.66757,Entire home/apt,6,250,2,3,12/26/2017,7/29/2018,5,5,5,5,5,5,4.67,R17000013546,0.05,"Chicago, IL",0
26795754,Nice Place!,156360525,Scott,10/26/2017,"Chicago, IL",N/A,f,Lincoln Park,,41.91815,-87.64889,Entire home/apt,4,250,2,10,9/16/2018,10/3/2021,4.9,4.9,4.7,4.9,4.9,5,4.6,R12345678902,0.18,"Chicago, IL",0
37710531,Lakeview Getaway - Experience Chicago in Comfort 1,9094538,Nicole,9/27/2013,"Chicago, IL",within an hour,f,Lake View,,41.93886,-87.65827,Entire home/apt,5,250,2,32,12/2/2019,6/28/2022,4.81,4.75,4.97,4.81,4.94,4.97,4.69,R22000082234,0.8,"Chicago, IL",0
6.19E+17,"Modern LUX Getaway w/ HOT TUB, LRG YARD, PARKING",457372436,Matthew,5/4/2022,"Chicago, IL",N/A,t,Bridgeport,,41.83027,-87.64929,Entire home/apt,7,250,2,36,6/6/2022,11/21/2022,4.92,4.92,4.83,4.94,5,4.75,4.86,R22000083068,3.76,"Chicago, IL",0
7802208,Art Collector's Greystone Apt.  (Support a Cause),35241159,Oliver,6/7/2015,"Chicago, IL",within a few hours,f,Uptown,,41.97037,-87.65723,Entire home/apt,4,250,1,94,9/21/2015,2/16/2020,4.85,4.89,4.75,4.95,4.98,4.87,4.85,R18000034096,1.03,"Chicago, IL",0
25404235,Sunny 2BR in the heart of Lincoln Park,268186688,Antoine,6/12/2019,Unknown,N/A,f,Lincoln Park,,41.91353,-87.64256,Entire home/apt,6,249,32,67,7/9/2018,10/29/2019,4.55,4.86,4.54,4.94,4.95,4.97,4.55,R19000042000,1.17,,0
22242931,Stylish Penthouse w/Private Rooftop,162532475,Brandy,12/13/2017,"Chicago, IL",N/A,f,Lincoln Park,,41.91126,-87.64307,Entire home/apt,6,243,2,159,2/4/2018,9/26/2021,4.87,4.88,4.86,4.96,4.96,4.94,4.74,R19000050531,2.55,"Chicago, IL",0
36080732,Oversized spacious one bedroom with private patio,4661357,Jeff,1/10/2013,"Chicago, IL",N/A,f,Lake View,,41.94504,-87.64655,Entire home/apt,4,240,32,14,8/5/2019,10/17/2021,4.79,5,4.71,4.93,5,5,4.86,City registration pending,0.32,"Chicago, IL",0
41968147,"Loop 1BR w/ Gym, Pool, W/D, nr. Millennium Park",107434423,Blueground,12/16/2016,"New York, NY",within an hour,f,Loop,,41.886064,-87.624718,Entire home/apt,2,239,32,1,12/26/2022,12/26/2022,5,5,5,5,5,5,5,32+ Days Listing,0.36,"New York, NY",0
38258027,"Hip, Lake Side,  Spacious 2 Bedroom Condo",17929135,Jaycee,7/10/2014,"Chicago, IL",within a day,f,Uptown,,41.95777,-87.64716,Entire home/apt,5,229,2,5,9/22/2019,12/12/2021,4.6,4.6,4.6,5,4.8,5,4.4,R21000073264,0.12,"Chicago, IL",0
10437238,Stunning Chicago Greystone,53764428,Kristin,1/7/2016,"Chicago, IL",N/A,f,Kenwood,,41.81557,-87.60098,Entire home/apt,9,225,32,54,3/27/2016,8/15/2020,4.33,4.43,4,4.67,4.63,4.38,4.34,R17000014520,0.64,"Chicago, IL",0
46449686,Convenient & Spacious Beauty w/FREE PRIV. PARKING!,45167969,Sarah,9/26/2015,"Chicago, IL",N/A,f,Irving Park,,41.95694,-87.73084,Entire home/apt,6,225,2,15,12/13/2020,10/1/2022,4.87,5,4.73,5,5,4.93,4.93,R22000087788,0.54,"Chicago, IL",0
7.04E+17,"Lincoln Park 3BR, nr L & Lincoln Park",107434423,Blueground,12/16/2016,"New York, NY",within an hour,f,Lincoln Park,,41.9304689,-87.6467995,Entire home/apt,6,223,32,1,10/14/2022,10/14/2022,5,5,5,5,5,5,5,,0.19,"New York, NY",0
14859319,Beautiful Urban Oasis Near Downtown!,45316706,Katelyn,9/28/2015,"Chicago, IL",N/A,f,West Town,,41.90002,-87.66215,Entire home/apt,5,221,2,9,7/21/2018,8/4/2019,4.78,5,4.89,5,4.89,4.89,4.67,R17000013562,0.16,"Chicago, IL",0
1656439,Luxurious & Cozy Urban Oasis,517499,Derek,4/18/2011,"Chicago, IL",N/A,f,Uptown,,41.95775,-87.64671,Entire home/apt,4,220,5,24,6/3/2014,11/30/2021,4.88,4.92,4.88,4.92,5,4.75,4.75,R21000073886,0.22,"Chicago, IL",0
6.14E+17,Lovely 3-bedroom 2-bathroom. Near U of Chicago.,34466381,Geno,5/28/2015,"Chicago, IL",within an hour,f,Washington Park,,41.79162,-87.61675,Entire home/apt,6,220,1,8,5/22/2022,8/8/2022,4.63,4.75,4.88,5,5,4.88,4.75,R22000082195,0.79,"Chicago, IL",0
44472823,"Loop 1BR w/ Gym, Doorman, nr L & Parks",107434423,Blueground,12/16/2016,"New York, NY",within an hour,f,Loop,,41.8772287,-87.6290111,Entire home/apt,2,215,32,2,5/15/2022,12/8/2022,4.5,5,5,5,5,4,4.5,32+days Listing,0.19,"New York, NY",0
28078561,Sunny 2BR / 1 BA in Hip West Town Location,40381099,Emily,8/3/2015,"Chicago, IL",N/A,f,West Town,,41.89469,-87.66116,Entire home/apt,4,215,2,21,2/10/2019,11/13/2022,5,5,5,5,5,4.86,5,R22000087113,0.42,"Chicago, IL",0
51925352,Exclusive Gold Room Studio,357097452,Krystal & Jherrica,7/18/2020,"Chicago, IL",N/A,t,Edgewater,,41.98856,-87.66578,Entire home/apt,2,215,2,29,2/13/2022,11/6/2022,4.97,4.93,4.9,4.9,5,4.9,4.76,R21000074679,2.18,"Chicago, IL",0
5.92E+17,Corner 2 Bed in the West Loop with Skyline Views,396270947,Jennifer,4/9/2021,Unknown,within a few hours,f,Near West Side,,41.88243,-87.65217,Entire home/apt,4,213,32,1,8/14/2022,8/14/2022,5,5,5,4,4,5,5,,0.14,,0
27904602,Amazing Penthouse in Heart of Chicago’s South Loop,41767444,Mar & De,8/17/2015,"Chicago, IL",within an hour,t,Near South Side,,41.85893,-87.62676,Entire home/apt,6,213,32,82,10/7/2018,5/11/2020,4.82,4.94,4.94,4.88,4.98,4.9,4.84,R20000054143,1.51,"Chicago, IL",0
19952090,Modern Graystone Apartment in Popular Foodie Neighborhood,2021885,Jason,3/28/2012,"Chicago, IL",N/A,t,Logan Square,,41.92165,-87.69959,Entire home/apt,4,211,2,90,8/7/2017,6/24/2022,4.96,4.97,5,5,4.94,5,4.84,City registration pending,1.32,"Chicago, IL",0
54281575,"Large Art Deco Southside Townhouse, Free Parking",45029197,Sara,9/24/2015,"Provo, UT",within a few hours,f,Woodlawn,,41.7752,-87.60602,Entire home/apt,8,210,32,6,3/20/2022,8/1/2022,4.83,5,4.67,5,5,4.83,5,2834910,0.49,"Provo, UT",0
6.75E+17,Cozy Midcentury condo in Andersonville,22591305,Patrick,10/15/2014,"Chicago, IL",within a day,f,Edgewater,,41.98051,-87.66402,Entire home/apt,4,210,2,3,9/5/2022,9/18/2022,5,5,5,5,5,5,5,R22000086790,0.46,"Chicago, IL",0
42936800,"W. Loop 1BR w/ Gym, Pool, nr. Fulton Mkt",107434423,Blueground,12/16/2016,"New York, NY",within an hour,f,Near West Side,,41.883056,-87.6513139,Entire home/apt,2,204,32,1,8/14/2021,8/14/2021,5,5,5,5,5,5,5,32+ Days Listing,0.05,"New York, NY",0
43030460,"W. Loop 1BR w/ Pool, Gym, nr. Fulton Mkt",107434423,Blueground,12/16/2016,"New York, NY",within an hour,f,Near West Side,,41.883056,-87.6513139,Entire home/apt,2,204,32,1,7/1/2020,7/1/2020,5,5,5,5,5,5,5,32+ Days Listing,0.03,"New York, NY",0
7.44E+17,McCormick Downtown #23 | 2bd/2ba (+Gym&Rooftop),98193524,Mary And JW,10/5/2016,"Chicago, IL",within an hour,t,Near South Side,,41.85302,-87.62569,Entire home/apt,6,203,2,3,11/20/2022,3/14/2023,5,5,5,4.67,5,5,5,R22000081316,0.75,"Chicago, IL",0
24446309,Chicago - Perfect Pilsen Pad On The Pink Line!,114879718,Cynthia,2/4/2017,"Chicago, IL",N/A,f,Lower West Side,,41.85555,-87.67569,Entire home/apt,5,200,60,58,4/29/2018,2/17/2020,4.97,4.97,4.95,4.93,4.98,4.79,4.97,R19000039552,0.97,"Chicago, IL",0
29184092,"Lovely rehabbed 3 bed, 2 bath in Kenwood.",28932173,Niko,3/7/2015,"Chicago, IL",N/A,f,Kenwood,,41.80458,-87.59182,Entire home/apt,4,200,32,1,10/12/2018,10/12/2018,0,,,,,,,City registration pending,0.02,"Chicago, IL",0
20378811,"*HEART of Wrigley 3 Bdrms*, 5min Walk to CTA Train",1597671,Naomi And JJ,1/12/2012,"Chicago, IL",within a few hours,t,Lake View,,41.9456,-87.65285,Entire home/apt,7,200,32,69,8/20/2017,3/15/2020,4.97,4.97,4.91,5,5,4.93,4.87,R19000037400,1.02,"Chicago, IL",0
